,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,000001.SZ,2016-01-04,11.33,0.004774,0.009465,0.98,8.1869,7.4202,1.0317,2.2085,1.8031,1430870.0,1180410.0,595331.0,16211700.0,13374000.0
1,000001.SZ,2016-01-05,11.4,0.005619,0.011141,1.09,8.2375,7.4661,1.0381,2.2221,1.8143,1430870.0,1180410.0,595331.0,16311900.0,13456600.0
2,000001.SZ,2016-01-06,11.53,0.004369,0.008663,0.9,8.3314,7.5512,1.0499,2.2475,1.835,1430870.0,1180410.0,595331.0,16497900.0,13610100.0
3,000001.SZ,2016-01-07,10.94,0.001481,0.002936,0.32,7.9051,7.1648,0.9962,2.1325,1.7411,1430870.0,1180410.0,595331.0,15653700.0,12913600.0
4,000001.SZ,2016-01-08,11.12,0.006333,0.012557,1.55,8.0352,7.2827,1.0126,2.1675,1.7697,1430870.0,1180410.0,595331.0,15911200.0,13126100.0
5,000001.SZ,2016-01-11,10.76,0.006201,0.012296,1.37,7.775,7.0469,0.9798,2.0974,1.7124,1430870.0,1180410.0,595331.0,15396100.0,12701200.0
6,000001.SZ,2016-01-12,10.81,0.004758,0.009434,0.99,7.8112,7.0797,0.9843,2.1071,1.7204,1430870.0,1180410.0,595331.0,15467700.0,12760200.0
7,000001.SZ,2016-01-13,10.71,0.003318,0.00658,0.72,7.7389,7.0142,0.9752,2.0876,1.7045,1430870.0,1180410.0,595331.0,15324600.0,12642100.0
8,000001.SZ,2016-01-14,10.77,0.005645,0.011192,1.28,7.7823,7.0535,0.9807,2.0993,1.714,1430870.0,1180410.0,595331.0,15410400.0,12713000.0
9,000001.SZ,2016-01-15,10.46,0.003797,0.007529,0.72,7.5583,6.8505,0.9525,2.0389,1.6647,1430870.0,1180410.0,595331.0,14966900.0,12347000.0
10,000001.SZ,2016-01-18,10.41,0.003567,0.007072,0.75,7.5221,6.8177,0.9479,2.0291,1.6567,1430870.0,1180410.0,595331.0,14895300.0,12288000.0
11,000001.SZ,2016-01-19,10.71,0.004245,0.008417,1.01,7.7389,7.0142,0.9752,2.0876,1.7045,1430870.0,1180410.0,595331.0,15324600.0,12642100.0
