trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2016-01-04,12.0,12.03,11.23,11.33,11.99,-0.66,-0.055,563498.0,660376.0
2016-01-05,11.27,11.57,11.15,11.4,11.33,0.07,0.0062,663270.0,755531.0
2016-01-06,11.42,11.56,11.39,11.53,11.4,0.13,0.0114,515706.0,591698.0
2016-01-07,11.41,11.41,10.91,10.94,11.53,-0.59,-0.0512,174761.0,194870.0
2016-01-08,11.21,11.29,10.9,11.12,10.94,0.18,0.0165,747528.0,831335.0
2016-01-11,11.0,11.08,10.68,10.76,11.12,-0.36,-0.0324,732014.0,800684.0
2016-01-12,10.83,10.91,10.64,10.81,10.76,0.05,0.0046,561642.0,605971.0
2016-01-13,10.89,10.94,10.7,10.71,10.81,-0.1,-0.0093,391709.0,424372.0
2016-01-14,10.59,10.8,10.48,10.77,10.71,0.06,0.0056,666315.0,708535.0
2016-01-15,10.66,10.8,10.42,10.46,10.77,-0.31,-0.0288,448202.0,474908.0
2016-01-18,10.34,10.56,10.3,10.41,10.46,-0.05,-0.0048,421041.0,439918.0
2016-01-19,10.45,10.78,10.41,10.71,10.41,0.3,0.0288,501109.0,532075.0
2016-01-20,10.7,10.8,10.44,10.54,10.71,-0.17,-0.0159,603752.0,640969.0
2016-01-21,10.48,10.75,10.32,10.32,10.54,-0.22,-0.0209,606145.0,638128.0
2016-01-22,10.4,10.45,10.22,10.4,10.32,0.08,0.0078,466752.0,482984.0
2016-01-25,10.4,10.44,10.33,10.37,10.4,-0.03,-0.0029,376432.0,390735.0
2016-01-26,10.32,10.32,9.86,9.87,10.37,-0.5,-0.0482,647901.0,653562.0
2016-01-27,9.93,9.98,9.6,9.88,9.87,0.01,0.001,569037.0,558511.0
2016-01-28,9.82,9.89,9.65,9.69,9.88,-0.19,-0.0192,302541.0,296055.0
2016-01-29,9.74,10.08,9.69,10.0,9.69,0.31,0.032,544436.0,540544.0
2016-02-01,9.98,10.01,9.74,9.8,10.0,-0.2,-0.02,417732.0,412636.0
2016-02-02,9.8,10.03,9.78,9.95,9.8,0.15,0.0153,369104.0,367360.0
2016-02-03,9.85,9.89,9.77,9.85,9.95,-0.1,-0.0101,274572.0,269998.0
2016-02-04,9.89,10.0,9.88,9.95,9.85,0.1,0.0102,373099.0,370586.0
2016-02-05,9.96,9.97,9.91,9.92,9.95,-0.03,-0.003,270893.0,269184.0
2016-02-15,9.66,9.85,9.65,9.79,9.92,-0.13,-0.0131,278499.0,271173.0
2016-02-16,9.84,10.03,9.83,10.01,9.79,0.22,0.0225,428386.0,427508.0
2016-02-17,10.03,10.22,9.99,10.15,10.01,0.14,0.014,585167.0,590539.0
2016-02-18,10.18,10.22,10.09,10.09,10.15,-0.06,-0.0059,406178.0,412338.0
2016-02-19,10.09,10.14,9.99,10.04,10.09,-0.05,-0.005,318898.0,320940.0
2016-02-22,10.13,10.31,10.06,10.29,10.04,0.25,0.0249,617739.0,630252.0
2016-02-23,10.29,10.29,10.05,10.12,10.29,-0.17,-0.0165,425874.0,432315.0
2016-02-24,10.06,10.15,10.01,10.15,10.12,0.03,0.003,300104.0,302498.0
2016-02-25,10.12,10.13,9.6,9.67,10.15,-0.48,-0.0473,622073.0,615005.0
2016-02-26,9.77,9.83,9.66,9.79,9.67,0.12,0.0124,392154.0,382635.0
2016-02-29,9.79,9.81,9.42,9.56,9.79,-0.23,-0.0235,566896.0,542184.0
2016-03-01,9.62,9.77,9.58,9.7,9.56,0.14,0.0146,377911.0,365149.0
2016-03-02,9.75,10.13,9.72,10.1,9.7,0.4,0.0412,676614.0,673626.0
2016-03-03,10.09,10.18,10.04,10.11,10.1,0.01,0.001,553089.0,559045.0
2016-03-04,10.09,10.5,10.07,10.4,10.11,0.29,0.0287,1381250.0,1429270.0
2016-03-07,10.35,10.49,10.3,10.34,10.4,-0.06,-0.0058,606353.0,630156.0
2016-03-08,10.36,10.36,9.94,10.28,10.34,-0.06,-0.0058,643156.0,650472.0
2016-03-09,10.14,10.22,10.04,10.17,10.28,-0.11,-0.0107,325901.0,330125.0
2016-03-10,10.24,10.35,10.13,10.15,10.17,-0.02,-0.002,474020.0,486414.0
2016-03-11,10.1,10.22,10.04,10.16,10.15,0.01,0.001,383737.0,389639.0
2016-03-14,10.21,10.46,10.21,10.26,10.16,0.1,0.0098,655158.0,679161.0
2016-03-15,10.28,10.36,10.16,10.32,10.26,0.06,0.0058,417920.0,428787.0
2016-03-16,10.27,10.45,10.25,10.35,10.32,0.03,0.0029,664886.0,690088.0
2016-03-17,10.36,10.48,10.3,10.42,10.35,0.07,0.0068,610996.0,635181.0
2016-03-18,10.42,10.57,10.4,10.54,10.42,0.12,0.0115,797216.0,836566.0
2016-03-21,10.55,10.86,10.55,10.8,10.54,0.26,0.0247,920433.0,987764.0
2016-03-22,10.77,10.94,10.69,10.72,10.8,-0.08,-0.0074,625482.0,675407.0
2016-03-23,10.71,10.77,10.61,10.7,10.72,-0.02,-0.0019,430278.0,458963.0
2016-03-24,10.61,10.63,10.5,10.52,10.7,-0.18,-0.0168,372406.0,393412.0
2016-03-25,10.51,10.6,10.5,10.59,10.52,0.07,0.0067,237070.0,250338.0
2016-03-28,10.62,10.65,10.45,10.48,10.59,-0.11,-0.0104,358621.0,378973.0
2016-03-29,10.51,10.52,10.38,10.43,10.48,-0.05,-0.0048,318318.0,332422.0
2016-03-30,10.48,10.7,10.47,10.7,10.43,0.27,0.0259,539700.0,572627.0
2016-03-31,10.71,10.75,10.64,10.64,10.7,-0.06,-0.0056,418388.0,447266.0
2016-04-01,10.62,10.69,10.5,10.66,10.64,0.02,0.0019,369342.0,391830.0
2016-04-05,10.62,10.81,10.5,10.7,10.66,0.04,0.0038,592309.0,632379.0
2016-04-06,10.68,10.75,10.61,10.72,10.7,0.02,0.0019,435260.0,464962.0
2016-04-07,10.72,10.73,10.59,10.59,10.72,-0.13,-0.0121,377720.0,401949.0
2016-04-08,10.55,10.67,10.5,10.57,10.59,-0.02,-0.0019,376554.0,397998.0
2016-04-11,10.6,10.8,10.6,10.72,10.57,0.15,0.0142,786386.0,840486.0
2016-04-12,10.7,10.71,10.62,10.67,10.72,-0.05,-0.0047,298600.0,318538.0
2016-04-13,10.73,10.97,10.71,10.81,10.67,0.14,0.0131,856760.0,929859.0
2016-04-14,10.88,10.9,10.79,10.84,10.81,0.03,0.0028,323646.0,350703.0
2016-04-15,10.84,10.94,10.8,10.88,10.84,0.04,0.0037,497224.0,541053.0
2016-04-18,10.82,10.85,10.73,10.73,10.88,-0.15,-0.0138,350654.0,377791.0
2016-04-19,10.77,10.81,10.71,10.77,10.73,0.04,0.0037,218240.0,234480.0
2016-04-20,10.77,10.78,10.36,10.52,10.77,-0.25,-0.0232,606586.0,640150.0
2016-04-21,10.52,10.63,10.45,10.51,10.52,-0.01,-0.001,558799.0,588732.0
2016-04-22,10.46,10.62,10.41,10.55,10.51,0.04,0.0038,359677.0,379176.0
2016-04-25,10.56,10.56,10.42,10.5,10.55,-0.05,-0.0047,349258.0,366533.0
2016-04-26,10.48,10.6,10.46,10.59,10.5,0.09,0.0086,291699.0,306962.0
2016-04-27,10.58,10.61,10.52,10.57,10.59,-0.02,-0.0019,239554.0,253309.0
2016-04-28,10.58,10.76,10.54,10.66,10.57,0.09,0.0085,457460.0,487261.0
2016-04-29,10.64,10.64,10.55,10.57,10.66,-0.09,-0.0084,404978.0,428582.0
2016-05-03,10.58,10.72,10.52,10.68,10.57,0.11,0.0104,489102.0,521138.0
2016-05-04,10.68,10.75,10.66,10.72,10.68,0.04,0.0037,412436.0,441848.0
2016-05-05,10.69,10.72,10.65,10.72,10.72,0.0,0.0,239517.0,256002.0
2016-05-06,10.73,10.73,10.52,10.52,10.72,-0.2,-0.0187,346545.0,367409.0
